cleanText,new_labels_1
during his tenure as mayor of new york city street homelessness decreased by 28 percent,1
berniesanders receives strong support from the conservative most rural part of vermont,1
the majority of hunters now want universal background checks the majority of trump voters,1
from the moment we passed that signature legislation mike bloomberg called it a disgrace,1
says since he took office the city of milwaukee has seen the creation of 7000 new affordable housing units,1
over 50 of the people now in the house and state senate have not been born in virginia,1
national polls have never predicted who will be president from our party carter was in the single digits a few months before caucuses bill clinton was obama 20 points behind in the national polls roughly,1
traditionally the speaker says members of congress i have the high privilege and distinct honor of presenting to you the president of the united states tonight speaker pelosi said members of congress the president of the united states,1
says 10 of u s children are texans,1
the president of the united states already has the legal authority to reduce the price of many commonly used prescription drugs,1
more than 80 of republicans think we ought to at least be doing universal background checks,1
the american people are overwhelmingly with us in calling witnesses in senate trial,1
mayor bloomberg helped lower the number of uninsured by 40 percent covering 700000 more new yorkers,1
twitter is banned in iran,1
witnesses have been part of every other impeachment trial the senate has ever had,1
we have the lowest corporate tax rate since 1968,1
florida is the 45th in state education funding,1
in 1988 in response to irans attack on the u s s samuel roberts president ronald reagan destroyed half of irans navy,1
we end the 100 billion a year that the health care industry makes,1
look at the men on this stage collectively they have lost 10 elections the only people on this stage who have won every single election that theyve been in are the women amy and me,1
a man at the storming of the u s embassy in iraq visited the white house in 2011,1
the united states is the only nation that grants legal permanent residency to more than a million people per year,1
last year 36 million americans didnt have a prescription filled because they couldnt afford it,1
if youre a black woman youre 320 more likely to die from complications in childbirth,1
says pete buttigieg ran statewide in indiana and lost by 20 points,1
real wages went up last year 11,1
california firefighters decided to speak out against president trump because his tweet about the states wildfires contained so much misinformation,1
says a new annual report shows that west virginias tourism industry has grown for the second consecutive year reversing years of decline and outpacing national growth by 58 percent,1
a study showed as many as one in four people have had a package stolen from their residence,1
says the cartels are so bad in a mexican border state that the u s government issued a do not travel warning the same warning it issued for syria,1
i am the only member of congress that voted for both inquiries the clinton inquiry and now the trump inquiry,1
if we make no changes over the next 10 years americans will reach into their pockets and pay out about 11 trillion on insurance premiums copays deductibles and uncovered medical expenses,1
on average one person dies by suicide every 22 hours in west virginia,1
90000 californians are unsheltered and homeless,1
the impeachment inquiry hearings going on behind closed doors over which congressman schiff is presidingthey are consistent with the rules of the u s house of representatives,1
president trump has sent 14000 american troops to the middle east region since may so he cant tell his political rallies that hes getting troops out of endless wars when hes sending 14 times the amount back into the region,1
americans say that what they want is a choice to join a singlepayer system like medicare rather than ending private insurance,1
west virginia department of education reported over 10000 children and youth have been identified as homeless for the 20182019 school year,1
millionaires are eligible for food stamps but donald trump came along and decided to put a stop to it,1
about 95 percent of americas production of ethylene is produced on the gulf coast in texas and louisiana,1
meth production in mo has cratered over last decade mo hwy patrol reported 1326 meth lab seizures in 2006 only 50 in 2018,1
minneapolis city government preemptively informed the target center that it would be responsible for 530000 in security and other costs related to a trump rally more than 26 times the estimated security costs for a 2009 target center health care rally held by president barack obama,1
says in the 2016 presidential election i won that one by 42 points 42 points west virginia,1
more than half of death row prisoners are people of color,1
u s agricultural food exports are expected to increase more than 2 billion annually under usmca,1
says people convicted of felonies or under restraining orders can buy a firearm without going through a background check,1
one unnamed donor gave 17 million to the leoaffiliated judicial crisis network to block the nomination of judge merrick garland and to support gorsuch then a donor perhaps the same one gave another 17 million to prop up kavanaugh,1
thirtyfour of the 47 men depicted in the famous declaration of independence painting were slaveholders,1
there are 390 million guns out on the streets of a country of 329 million people,1
america has more governors whove worn blackface than black governors,1
the last time people created a hollywood blacklist people ended up killing themselves they were accused and they lost their right to work,1
floridas red flag gun law has been used about five times a day,1
the law says that mental health must be treated the same as physical health but coverage by health insurers is unequal,1
if you go back you can see wayne lapierre who runs the nra testifying in front of congress in favor of background checks 15 or 20 years ago,1
more americans are uninsured today than when president donald trump took office,1
says of el paso that some years in a city of almost 700000 we had five murders the entire year our average over the last 10 years is 18 murders per year we exceeded that average just on one day after a gunman opened fire at a walmart in the city,1
studies show at the minimum wage you cant rent a twobedroom apartment anywhere in the united states a modest twobedroom apartment,1
since 2014 there has been a 25 reduction in crime in communities at the texasmexico border,1
rep ilhan omar voted yes to provide further funding for the 911 first responders victims fund while sen rand paul voted no,1
triggering leftists trumps reelection campaign is selling plastic straws,1
food stamp participation hits 10 year low,1
in 2017 we had more marijuana possession arrests in our country than all other violent crimes combined,1
the wealthiest three families now own more wealth than the bottom half of the country,1
the typical black family in this country has onetenth the wealth of the typical white family,1
wisconsin is a top 10 state for health care coverage,1
in 2018 when he ran for senator young voter turnout in early voting was up 500 we won more votes than any democrat has in the history of the state of texas,1
the united states is the only industrialized country without universal healthcare,1
just the last three weeks on average about 23000 women children men are coming over across the border illegally as family units or as unaccompanied children,1
most research shows that uw salaries are a little behind and in some areas were behind more than others,1
the va negotiates prescription drug prices medicare doesnt do that,1
says immigrant military service members applying for u s citizenship are getting rejected at higher numbers than those who are not veterans,1
we saw the prison population expand and vacancy rates for correctional officers go from 29 to 152 over the last eight years,1
we beat the nra with tough tough gun laws in colorado,1
in fact high crimes and misdemeanors is not defined in the constitution and does not require corresponding statutory charges the context implies conduct that violates the public trustand that view is echoed by the framers of the constitution and early american scholars,1
i actually in 2005 ran on medicare for all,1
weve had a 30 increase in suicides in this country in just 15 years,1
suicide is the secondleading cause of death among 1519 year olds and 2534 year olds in missouri,1
texas actually leads in the number of confederate monuments removed,1
over 30 states passed the legislation to ban powdered alcohol and missouri is not one of them,1
im one of the first guys to introduce a climate change bill way way back in 87,1
994 of businesses in wisconsin are small businesses and they employ nearly half of our workforce,1
youve got millions of families paying 40 50 60 of their limited incomes to put a roof over their heads,1
the unemployment rate for wisconsin workers has reached historic lows its never been this low before ever ever ever,1
speaking of the financial crisis that gained traction in 2007 i talked about it to anyone who would listen a crisis is coming,1
the enumeration clause speaks to the count of every individual and not just americans not just citizens,1
all the ponds in missouri for which we have data are causing groundwater contamination this is a statewide issue,1
says 74 of people in texas are crammed into 4 of the land,1
big pharmaceuticals pay off they literally pay off generics to keep the prices and the competition off the market,1
says 5 out of 10 gop candidates dont live in north carolinas 9th congressional district,1
in my own state of vermont from the very first days of our states history what our constitution says is that everybody can vote that is true so people in jail can vote,1
i was the only member of the senate republican or democrat who has consistently voted against efforts to use the so called nuclear option to change the rules of the senate,1
west virginias exports increased for the second year in a row in 2018 reaching 81 billion additionally west virginias export growth rate was 142 nearly double the national average of 76,1
our state has fewer science technology engineering and math graduates than any neighboring state,1
since 2011 we have documentation of 1671 dead bodies we have recovered in texas many in brooks county,1
the 2008 election was the first election in which voters of color comprised over 25 percent of the electorate and that number is going up,1
currently 23 percent of our militarys infrastructure is graded as poor while 9 percent is failing,1
in new york state democrats blocked a bill expanding college tuition for gold star families after approving aid for illegal immigrants,1
there have been zero reported instances of any child born alive after an abortion in texas,1
the affordable care act provided over 200000 west virginians with health care coverage,1
wisconsin has the highest infant mortality rate for black babies nationwide,1
like every budget passed by the senate since i have been lieutenant governor senate bill 1 is within the spending limit set by the texas constitution,1
says all north carolina teachers do not currently get a duty free lunch break,1
missouri ranks 45th in the nation in per capita state fiscal support for higher education and missouri state is last among missouri schools,1
about 80 percent of the manufacturing and agriculture tax credit goes to claimants who are making 1 million or more,1
right now 1 in 4 texas women of reproductive age are uninsured totaling 15 million texas women,1
for cabinet posts i have the best voting record against trump nominees of anyone else running for president,1
says an ice detainer request is not a valid warrant,1
29 states still dont have comprehensive protections for people in the lgbtq community,1
says zero african americans have presented to the house budget committee in 2019,1
we are always going to need architects doctors were going to need professionals with fouryear degrees but 65 to 70 percent of the people in missouri dont have degrees,1
over the last eight years weve shown that even though weve cut taxes by 8 billion revenues continue to grow,1
california has the largest death row in the western hemisphere the largest death row in the united states of america two times the size of the next largest state florida,1
the boeing 737 max 8 the type of plane that crashed in ethiopia continues to fly in the united states despite the faa saying software updates are likely coming,1
since 2011 the gap in high school graduation rates between africanamerican students and all students has been cut in half from 64 percent to 31 percent,1
we maintain this missouri highway system with one of the lowest levels of funding in the country,1
virginia house republicans have had more africanamericans on key committees than when the democrats were in control,1
west virginia has the nations lowest workforce participation rate which hovers around 50 percent when the national average is about 63 percent,1
more than a million californians do not have clean water to bathe in or drink,1
todays minimum wage worker making 725 an hour has less buying power than a minimum wage worker in the 1960s,1
i have more military experience than anybody whos arrived behind that desk since george h w bush,1
on extremerisk guns laws this idea has passed republican legislatures in other states and has been signed by republican governors,1
a bill passed by gop legislators makes it harder to prosecute people and groups that violate campaign finance laws,1
the facts are the majority of opioids and all kinds of other things that are connected to the opioids are coming through the point of entry,1
new york has passed the best paid family leave program in the united states of america,1
the national defense authorization act for fiscal year 2019 includes the largest pay raise in nearly 10 years,1
adjusting for inflation west virginias median household income has not grown in a decade,1
the poverty rate in west virginia was 191 percent the fourthhighest in the country,1
there is nothing that we have done on amazon that we have not done with hundreds of other projects,1
in 2017 west virginias 43469 median household income was 16867 below the national average ranking 50th,1
says ann coulter said i am a settler i am descended from settlers not from immigrants,1
at general motors ceo mary barra took home almost 22 million dollars last year alone 295x your companys average employee,1
the united states spends more on potato chips than we do on all energy rd,1
missouri had the largest amount of millennial democrats running than any other state in the country,1
in fact 7 out of 10 new jobs in america are created by small businesses,1
middleclass income rose to a record level in 2017 as the strong economy lifted the fortunes of more americans,1
we have lost more lives in the last two years due to opioids than all of the lives lost during the vietnam war,1
says joe manchin refused to commit to kavanaugh until after the senate had the votes,1
trump supporters are heading to the border as the migrant caravan approaches,1
do you know that new york state pays out way more than they ever get back,1
west virginia added the highest percentage of new construction jobs in 2017 in the united states at 144 this amounted to 4300 additional jobs in fact wv was the only state with doubledigit growth,1
household income among hispanic americans has just set a new record high,1
west virginia has the highest overdose rate per capita of any state in our nation,1
matt rosendale supports plans that dont have to cover preexisting conditions,1
on spending growth under gov andrew cuomo despite the fact that you continue to suggest that youve been able to hold the two percent you havent,1
my opponent is endorsed by citizens united,1
thousands of folks are opening west virginia ezpass accounts,1
black lung cases are at a 25year high,1
the poverty rates for african americans and hispanic americans its been incredible theyve all reached their lowest levels in the history of our country,1
says rick scotts hospital company stole millions defrauding the militarys health care program,1
mark harris has said he would abolish the department of education,1
he even supports putting a female inmate in shackles during childbirth,1
says only one other senator from either party over the last 25 years has a worse record on bipartisanship than ted cruz,1
leah vukmir opposes buy american legislation,1
in west virginia personal income tax collections were up 14 from 2017,1
since passage of the tax cuts and jobs act walmart increased their starting wage to 11hr has given about 400 million in bonuses,1
most of kathy mannings donors are from outofstate,1
the national economy was strong in its largest expansion of private sector jobs before president trump came into office,1
i think i received more votes in the democratic primary than any governor in history,1
close to half of the children in california are at or near poverty when you consider costofliving,1
says sean hannity told listeners of his radio show that beto orourke is asking for help in getting undocumented to vote,1
says a josh hawley lawsuit would take away important prescription drug coverage for seniors through medicare and end all of the consumer protections under the aca,1
says the trump administration transferred 10 million from fema to ice,1
says texas high school graduation rates are at alltime highs,1
for only the second time since 2000 there are more job openings than americans who are unemployed,1
this year west virginia produced more americorps members than any other state,1
says hes a smalltown supervisor who has kept a balanced budget who has increased surpluses who has led us to the highest credit rating our town has ever had,1
if you are a gun store owner and you decide to go out of business you right now are allowed to convert your entire gun store inventory to personal use and once it is a personal use weapon you can sell it without background checks,1
the american economy is continuing its longest monthly streak of job growth in history with 39 million jobs added since president trump was elected,1
says beto orourke has a criminal record that includes dwi and burglary arrests,1
apple and amazon already operate in many states that require levels of voter id,1
i dont take a dime of pac money,1
says leah vukmir claimed the open records law didnt apply to her got sued lost and cost taxpayers 15000 in legal fees,1
one out of every 30 people in the greater boston area is an illegal alien,1
says hes never voted present in the house instead of taking a yes or no position,1
in 2017 ice arrested more than 127000 illegal immigrants with criminal convictions or facing charges of breaking our nations laws and removed nearly 5000 gang members,1
in december of 2017 the prince william board of supervisors had a meeting corey stewart skipped that meeting to go campaign in alabama for roy moore to be a u s senator you havent disavowed roy moores name yet,1
lets talk about the facts and where we are today there are still nearly 2600 children who are separated from their parents due to the trump administrations zerotolerance policy,1
the railroad commission of texas has nothing to do with railroads,1
the three wealthiest people own more wealth than the bottom half of the american people,1
since 2014 each year nato nations have been increasing their contributions,1
there isnt a system for reuniting families separated under trumps zero tolerance border policy,1
migrant mother and crying girl on time cover never separated,1
since taking office we have enacted more than 8 billion in cumulative tax relief,1
under emanuel cps has become the most understaffed school district in illinois,1
when you tally up their representation in congress and governorships the democrats almost have their lowest representation in about 100 years,1
says most of austins biggest parks have recycling though as many as 293 out of 300 austin city parks have no recycling including almost every neighborhood park,1
ohios payday lending laws are now the worst in the nation things have gotten so bad that it is legal to charge 594 percent interest on loans,1
says our indicted attorney general ken paxton is back to being the only statewide official in the country under indictment,1
weve been down this road beforeblanket protectionism is a big part of why america had a great depression,1
its against the law in texas to let any loaded gun get in the hands of a child,1
democrats mistakenly tweet 2014 pictures from obamas term showing children from the border in steel cages,1
senator cryin chuck schumer fought hard against the bad iran deal even going at it with president obama then voted against it now he says i should not have terminated the deal,1
taking into account inflation the federal minimum wage is actually worth less than what it was worth 50 years ago,1
you know what amazon paid in federal income taxes last year zero,1
says mitt romney is using a million of his presidential campaign dollars to finance his utah senate race,1
after the minimum wage for tipped workers was raised in maine the state reversed that decision due to restaurant employees organizing en masse against the measure,1
black and latino people in nyc are arrested at ten times the rate of white people for virtually the same rate of marijuana usage,1
a majority of americans now live in states where they have decided to legalize cannabis including recreational and medical marijuana,1
here are the facts there is no massive wave of migrants pouring into california overall immigrant apprehensions on the border last year were as low as theyve been in nearly 50 years and 85 percent of the apprehensions occurred outside of california,1
new york has among the highest tax burdens of any state in the nation,1
west virginia has the highest overdose death rate in the nation,1
in one day of fundraising i received more small donor contributions than andrew cuomo received in seven years,1
california is 49th out of 50 in the united states in per capita housing units only utah can lay claim to being lowest in per capita production,1
half of the american women who are murdered are killed by their intimate partners,1
says pta meetings are now being conducted to help parents tell their kids that if a guy with an ar15 walks into their classroom you are supposed to create as much chaos as you possibly can they want you to scream and yell and dance around and throw books and just keep moving,1
says china and singapore impose the death penalty on drug dealers,1
says richard cordray directed an ohio commission to permit an armed group to have a rally on the statehouse grounds even taking the extraordinary step of assuming personal responsibility for waiving an insurance requirement in the event of an incident,1
since 1990 production of metals in the u s has held roughly constant but the number of people employed in the industry has fallen steadily,1
we are last in the nation in startups 50th,1
the 2018 academy awards show was the lowest rated oscars in history,1
says texas ranks among the nations top five states for its high school graduation rate,1
says stephen f austin and james bowie promoted slavery,1
under n y state assault weapon ban 1 simple cosmetic change pictured here is difference between legal banned,1
its now constitutional to ban assault weapons in illinois yet the illinois general assembly has failed to allow other cities to have that opportunity,1
the impending work stoppage is unlawful,1
about new york state we have the highest debt per capita,1
says that as a judge she has presided over more than 10000 cases,1
in georgia 25 percent of rural residents are without access to high speed internet,1
the past president barack obama brought al sharpton into the white house something like 80 times,1
there was no requirement to put in affordable housing,1
rep paul gosar asks capitol police to arrest illegal immigrants attending state of the union,1
new york consistently ranks as one of the worst voting turnout states in the nation,1
new york has the third lowest rate of guncaused death in america,1
70 percent of the income tax that the state collects happens to come from westchester nassau suffolk and new york city,1
small business confidence is at an alltime high,1
they found 60 votes in the senate in 2006 and 2013 for immigration legislation and each time the house republican majority refused to take it up,1
californias prisons budget in 1970 was about 3 percent of the general fund now its 89 percent about 12 billion,1
reauthorizing the childrens health insurance program for six years saves 1 billion and doing it for 10 years saves 6 billion,1
when we say one vote matters its not just a saying it has proven true 141 times in ohio over the last five years,1
says donald trumps use of the term fake news to undermine journalism seems to have inspired dictators and authoritarians,1
the graduation rate in new york city has increased by 50 percent in 13 years,1
the white house staff risks violating federal ethics rules if they participate in donald trumps fake news awards,1
the dow jones industrial average jumped 1000 points in last 5 weeks record fastest 1000 point move in history,1
these guys are now pretty much living up to the brucerauner standard and falling dismally short of the mittromney standard even romney released his full tax returns,1
wisconsins driver licenses and identification id cards are currently the most secure in the nation,1
says roy moore said a practicing muslim should not be a member of congress because of his faith,1
the no 1 job vacancy in florida every month for seven years has been nursing,1
when i saw corruption and sexual harassment coverups i called on sheldon silver to resign,1
were growing union jobs faster than illinois,1
we are spending more on affordable housing than were spending on dix park right now,1
says county parties representing more than half the states republican voters approved resolutions demanding changes in texas house leadership,1
ninety percent of people born in the 1940s ended up doing better financially than their parents but those born in the 1980s the muchmaligned millennials have only a 5050 chance of doing better financially than their parents despite being the besteducated generation in our history,1
what republicans call the death tax is the estate tax on the ultra wealthy which in 2016 was paid by only two out of every 1000 people,1
our tax code has nearly doubled since 1985,1
one in 10 babies born in this country is born in texas,1
i personally am prochoice i always have been and i made no qualms about that when i was elected governor,1
90 percent of americans support universal background checks for gun purchases,1
some states hit hardest by opioid deaths have more opioid prescriptions than residents,1
while mayor rick kriseman said he would dip into reserves this year because of hurricane irma he went into the emergency reserves before irma ever hit,1
floridas coastal and stormwater infrastructure are two of the most critical areas during a storm and received dplus and d ratings respectively by the american society of civil engineers in 2016,1
ronald reagan was a verified democrat until his mid50s,1
seventysix percent of the american people support us passing the dream act with citizenship and legalization as part of it all more than 60 percent of republicans support that,1
nearly 23 of rural missourians dont have access to broadband that needs to change,1
no court has held deferred action for childhood arrivals unconstitutional,1
rescinding the deferred action for childhood arrivals program will harm our economy,1
i think what the authors of the 25th amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown an inability to function in office,1
im the only candidate who has not accepted money from carl paladino nor lpciminelli two of the biggest developers in the city of buffalo,1
it costs us about 33000 a year on average nationally to lock somebody up in california it costs about 75000 a year,1
says his time away from washington coincides with a long planned renovation for the white house,1
the new tax will make soda sold in chicago among the most expensive in the country,1
says transgender residents make up about 1in300 people were all over the place were your friends and your neighbors,1
the inland empire is the second fastest growing region for jobs in california,1
we have been able to cut new yorks uninsured rate in half since 2013 from 10 percent to 5 percent of our population,1
we now have about onethird of new yorks population on medicaid,1
says president richard nixon held meetings with heads of state without an american interpreter,1
one texas school district alone austin isd is expected to lose more than 530 million in local property taxes to robin hood this year,1
i helped win one of the biggest private lawsuits against medicare fraud in history the government declined to pursue the case so my firm did and we recovered 324 million for taxpayers,1
tax cuts approved and those proposed in his state budget will exceed 8 billion by the time the budget is done,1
the new york state senate passed legislation allowing minors to race snowmobiles get their own hunting licenses and not be employed gathering or picking rags cigar stumps or collecting bones,1
seven years later scott walker has not hit his first campaign promise of creating 250000 jobs,1
says jon ossoff doesnt even live in his district,1
there are currently 6 million jobs available in this country that are due in part to the skills gap,1
says each of the past three years has been the hottest on record,1
says the senate intelligence committee has held 10 public hearings this year more than double that held by the committee in any recent year,1
how many federal rulings have now found intentional discrimination by txlege since 2011 6,1
for 22 percent of n h meals on wheels recipients the delivery driver is the only human contact in their life from week to week,1
the waiting list for prek is over in the house budget,1
texas leads the country in animal deaths by sodium cyanide m44s,1
syria and nicaragua are the only nations that didnt sign the paris agreement nicaragua said it wasnt tough enough,1
many of the countries in question in trumps travel ban dont even have a u s embassy there to help us vet,1
due to the recent downturn in steel production more than 13600 americans have been laid off and the steel industry is facing billions in losses,1
president obama became the first president since carter to leave the white house with a smaller federal prison population than when he took office,1
the federal tax code includes deductions for birds flying across america,1
planned parenthood is the biggest abortion provider in the country,1
in some cases a sex offender who appears on the new york state sex offender registry would be able to drive for uber or lyft when ridehailing is allowed upstate in july,1
general flynn got his clearance from the obama administration,1
china accounts for 90 percent of north korean trade,1
the estimated price of president trumps border wall is the same as the cost of one and a half aircraft carriers,1
theres no real evidence in the last 20 years that growth from tax cuts has made up lost revenue,1
were experiencing a net outflow of illegal undocumented workers from america back to mexico,1
illegal immigration on the u s mexico border is the lowest in 17 years,1
missouri is actually the only state that has been forced to borrow money from the federal government to pay for unemployment benefits during each of the last five economic downturns,1
trump looking to open up e coast new areas for offshore oil drilling when congress has passed no new safety standards since bp,1
says milwaukee county sheriff david a clarke jr has said black lives matter is a terrorist movement a hate group and calls it black lies matter,1
says a texas senate committee considering private school voucher legislation randomly called people to testify regardless of when the people submitted requests to testify,1
more than 20 million people are at risk of dying from starvation within 6 months in 4 nations,1
house bill 991 could lead to the opening of as many as 2000 new liquor stores,1
75 percent of the town boards in wisconsin have no women on them at all,1
there are no federal or state laws that say prosecutors must seek death sentences and the united states supreme court has banned all state laws that make executions mandatory for murders,1
says president donald trump had a different opinion in 2013 than he does now about whether barack obama should have intervened in syria after obamas red line was crossed,1
afghanistan has more hectares of opium poppies planted today than they had before we started this war,1
in new york state you can not charge an older person even one dollar more than a younger person for health insurance,1
21 million jobs have been created in the last six or seven years in california,1
more than half of planned parenthood facilities are in rural or medically underserved areas,1
south florida ranks no 1 in the gap between wages and housing,1
the gops obamacare replacement would reduce subsidies that help lowerincome people buy health insurance but also expand the entitlement by giving subsidies to higherincome people that obamacare never helped,1
small businesses create two out of every three american jobs,1
the average margin of victory in the house of representatives was 37 for democrats and republicans in the 2016 election,1
texas legislators have filed voucher proposals in every legislative session since 1995 but all of them have failed to become law,1
onethird of the counties think of it onethird only have one insurer left on the affordable care act exchanges,1
says condoms used to be taxexempt here in texas,1
florida is now the only state in the nation to tax commercial leases,1
says 70 percent of benefits in donald trumps proposal for child care go to the people making over 100000 a year,1
most u s foreign assistance is given to u s companies and nonprofits in the form of contracts and grants,1
says hb2 has hurt north carolinas economy by onetenth of 1 percent of our annual gdp,1
ive given the religious schools in my budget more money than ever before in history,1
just last year over 5000 refugees came to new york state and 94 percent settled outside of new york city,1
during his campaign for president donald trump committed to honoring states rights when it comes to marijuana legalization,1
you can almost pinpoint half of the gun violence deaths to two or three specific sections in the city they are just areas of devastation economically and otherwise,1
for every extra year a girl goes to school her income goes up 12 percent,1
the status quo led the general assembly to reduce pension payments four straight years starting in 2005 costing billions of dollars as the delay in contributions essentially borrowed from pension funds at a very high interest rate,1
new york state subsidizes private colleges probably more than any other state except maybe one,1
graduation rates in buffalos school district which were around 48 percent are now up to 64 percent since say yes buffalo launched,1
says exxonmobil fought to kill a rule requiring oil and mining companies to disclose payments made to foreign governments,1
not a single democrat opposed neil gorsuchs confirmation in 2006,1
about threequarters of syrian refugees are women and children a full third of them are kids under 12 years old,1
all of our taxpayers are paying roughly 22 of the u n budget,1
twentyseven percent of californians almost 11 million were born in a foreign land,1
the exodus of citizens from new york state has been growing,1
california has the highest poverty rate in the nation when considering the u s census bureaus supplemental poverty measure,1
the uninsured rate in california reached a historic low of 74 percent in 2016,1
house bill 6627 also requires the applicant to attest to their eligibility to vote as is required by the national voter registration act and used by all other states that have automatic voter registration,1
by funding the authorization thats already happened a decade ago in the secure fence act of 2006 we could start the process of meeting mr trumps campaign pledge to secure the border,1
the federal government is prohibited from negotiating lower prescription drug prices for our senior citizens,1
wisconsin property taxes as a percentage of personal income are the lowest that theyve been since the end of world war ii,1
i have never once raised the county tax levy not for seven straight years,1
more college graduates are living at home than in decades,1
in new york average college debt 30000 per student,1
jackie evanchos album sales have skyrocketed after announcing her inauguration performance,1
unlike california we in florida welcome driverless cars no permit required,1
the causation standard in indiana is exactly the same as it is in illinois,1
on oct 7 the access hollywood tape comes out one hour later wikileaks starts dropping my emails,1
in austin texas the average homeowner is paying about 1300 to 1400 just for recapture meaning funds spent in nonaustin school districts,1
social security was basically invented at the university of wisconsinmadison thats where franklin roosevelt got the idea,1
we adopted the modern social security system at a time when the average person died before they were old enough to get social security,1
says donald trump thinks stopandfrisk is fine,1
even though men comprise 49 of the population they hold 80 of the lawmaking power in the legislature 144 of 181 seats,1
we spend less than 2 percent more every year that is the lowest increase in spending since they have been keeping numbers,1
hillary clinton in 2005 cosponsored legislation that would jail flag burners,1
texas spends more per day to house an inmate than we do on a student,1
says john bolton supported the iraq war and said last year that i still think the decision to overthrow saddam was correct,1
financial conflictofinterest laws dont apply to the president right so the president doesnt have to have a blind trust,1
newt gingrich has been a proponent of selecting a president by popular vote instead of the electoral college,1
i was the first member of congress to contribute to donald trump,1
surveys show that many of our citizens think we devote a full quarter or even a third of our federal budget to foreign aid,1
spanish was the first european language spoken in this country,1
under donald trumps tax plan 51 percent of single parents would see their taxes go up,1
says richard burr was one of only three senators who voted against a ban on insider trading for members of congress and he called that vote brave,1
says russ feingold said that with obamacare we could keep our doctors and our plans it was rated as the lie of the year,1
says donald trump wants to undo marriage equality,1
wisconsin is one of several states where you can change your early ballot if you think youve made a mistake,1
says of donald trump he even said on his very first day in office he would require every school in america to let people carry guns into our classrooms,1
several elected state officials have opened their homes to children in need of loving families,1
says donald trump was asked if he would defend our allies he said well first hed want to know if they made any payments to us to defend them,1
department of veterans affairs doctors are prohibited from recommending medical marijuana,1
were already bombing seven countries,1
says ted strickland in this campaign bragged about his aplus rating with the nra he has said he has a mixed and spotty record on this issue and that he can be criticized for it those are his words not mine so i dont know where he is on this issue,1
zephyr teachout says she is against super pacs despite taking money from super pac donors,1
says donald trump used undocumented labor to build the trump tower,1
we have 17 intelligence agencies civilian and military who have all concluded that these espionage attacks these cyberattacks come from the highest levels of the kremlin and they are designed to influence our election,1
heroin pours across our southern borders,1
says warren buffett has publicly said his secretary should not be paying a higher tax rate than him,1
marco rubio made it clear not only does he think donald trump is a con man he went on to say he doesnt trust donald trump with the nuclear codes,1
says over 90 percent of travis countys eligible residents have registered to vote,1
weve had muslims in america since george washington,1
